User_ID,Product_ID,Category,Brand,User_Age,User_Gender,User_Location,Device_Type,Session_Duration_Min,Pages_Viewed,Time_of_Day,Previous_Purchases,User_Rating,Product_Price,Discount_Applied,Graph_Similarity_Score,Federated_Cluster_ID,Local_Model_Accuracy,Global_Model_Weight,Personalization_Factor,Purchase_Probability,Recommended
U0103,P0049,Books,BrandE,35,Female,Rural,Desktop,57.36,14,Evening,5,2,268.02,1,0.925,2,0.833,0.971,0.8,0.632,1
U0271,P0173,Sports,BrandD,21,Male,Suburban,Mobile,15.17,3,Evening,41,2,104.62,0,0.918,5,0.845,0.713,0.599,0.692,1
U0107,P0030,Sports,BrandD,18,Female,Urban,Tablet,20.09,5,Evening,39,4,145.91,1,0.303,4,0.836,0.384,0.683,0.604,1
U0072,P0144,Clothing,BrandC,18,Male,Rural,Mobile,11.84,7,Night,30,3,383.75,0,0.592,1,0.735,0.76,0.394,0.624,1
U0189,P0168,Electronics,BrandE,43,Male,Urban,Mobile,35.04,1,Afternoon,16,1,237.82,0,0.96,9,0.839,0.397,0.245,0.569,0
U0021,P0019,Books,BrandA,62,Female,Urban,Tablet,10.14,12,Night,24,3,162.09,0,0.547,4,0.914,0.213,0.112,0.595,0
U0103,P0018,Sports,BrandB,37,Female,Rural,Mobile,22.02,11,Evening,31,3,313.2,0,0.454,5,0.716,0.528,0.839,0.682,1
U0122,P0001,Clothing,BrandD,40,Female,Urban,Desktop,42.12,8,Night,11,2,328.12,1,0.535,7,0.931,0.776,0.673,0.548,0
U0215,P0078,Sports,BrandB,27,Female,Urban,Desktop,34.05,6,Night,48,2,385.85,1,0.811,2,0.605,0.44,0.306,0.464,0
U0088,P0115,Toys,BrandA,28,Female,Urban,Desktop,23.8,2,Night,12,2,82.57,0,0.53,8,0.722,0.882,0.477,0.566,0
U0100,P0175,Books,BrandB,58,Female,Rural,Tablet,25.79,19,Evening,18,5,372.05,0,0.805,2,0.646,0.448,0.821,0.854,1
U0152,P0194,Books,BrandA,58,Male,Suburban,Tablet,34.16,14,Night,43,5,301.72,0,0.489,10,0.644,0.415,0.585,0.744,1
U0131,P0113,Toys,BrandC,22,Female,Suburban,Mobile,1.35,1,Morning,47,1,33.5,0,0.327,5,0.885,0.998,0.37,0.476,0
U0150,P0114,Home & Kitchen,BrandD,18,Female,Urban,Desktop,5.63,10,Evening,24,2,389.84,0,0.394,2,0.921,0.534,0.34,0.551,0
U0258,P0166,Toys,BrandA,34,Other,Suburban,Desktop,52.99,16,Night,30,4,194.62,1,0.17,2,0.872,0.825,0.296,0.508,0
U0294,P0179,Beauty,BrandB,39,Female,Suburban,Desktop,5.59,4,Morning,36,2,168.54,1,0.548,4,0.942,0.824,0.841,0.586,0
U0192,P0063,Beauty,BrandD,51,Male,Urban,Mobile,42.7,11,Night,24,5,226.8,0,0.233,4,0.676,0.934,0.624,0.707,1
U0277,P0132,Clothing,BrandC,62,Male,Urban,Desktop,55.28,16,Afternoon,15,2,176.36,0,0.83,8,0.649,0.176,0.738,0.663,1
U0161,P0129,Books,BrandD,58,Female,Urban,Tablet,16.97,1,Night,37,5,172.45,0,0.479,6,0.782,0.344,0.874,0.827,1
U0022,P0008,Home & Kitchen,BrandA,46,Female,Rural,Tablet,22.86,16,Night,42,2,405.0,0,0.789,10,0.89,0.791,0.988,0.753,1
U0253,P0157,Home & Kitchen,BrandC,21,Female,Suburban,Mobile,34.57,19,Afternoon,48,4,66.63,0,0.959,8,0.614,0.606,0.325,0.72,1
U0236,P0055,Sports,BrandB,22,Female,Rural,Mobile,53.02,9,Evening,22,1,485.45,0,0.865,7,0.948,0.604,0.263,0.575,0
U0049,P0103,Sports,BrandC,28,Female,Urban,Mobile,56.57,9,Afternoon,13,4,279.69,0,0.956,10,0.811,0.25,0.516,0.797,1
U0059,P0131,Toys,BrandC,38,Male,Suburban,Desktop,44.63,9,Evening,5,5,95.55,0,0.611,4,0.943,0.353,0.132,0.737,1
U0170,P0032,Home & Kitchen,BrandE,52,Female,Suburban,Desktop,6.11,17,Afternoon,24,3,69.95,0,0.249,2,0.728,0.569,0.813,0.638,1
U0188,P0010,Toys,BrandC,29,Male,Suburban,Mobile,40.48,12,Night,22,4,297.8,0,0.942,9,0.76,0.349,0.895,0.859,1
U0271,P0110,Toys,BrandC,43,Male,Rural,Mobile,25.21,13,Night,42,2,318.33,0,0.882,2,0.863,0.289,0.717,0.712,1
